areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
Stuyvesant Town/PCV,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,4641.000,,,4403.000,4135.000,,,,4661.000,4375.000,4328.000,4238.000,4050.000,4300.000,4492.000,,,,,,,,4543.000,4543.000,4074.000,,4670.000,4670.000,4745.000,4630.000,4515.000,3874.000,3887.000,4014.000,3832.000,3699.000,3799.000,3994.000,,4676.000,4385.000,4437.000,4353.000,4429.000,4339.000,4430.000,4479.000,4452.000,4466.000,4828.000,4970.000,4911.000,4911.000,4994.000,5101.000,4958.000,5225.000,4930.000,4977.000,5057.000,4925.000,4979.000,4784.000,4759.000,4857.000,4941.000,4504.000,4933.000,4910.000,4812.000,4756.000,4745.000,4835.000,4845.000,4325.000,4565.000,4472.000,3837.000,3743.000,3840.000,3745.000,3629.000,3774.000,3627.000,3760.000,4182.000,4173.000,4017.000,4560.000
Sunnyside,Queens,neighborhood,1980.000,1940.000,1800.000,1800.000,1650.000,1623.000,1650.000,1650.000,1600.000,1700.000,1785.000,1770.000,1770.000,,,1725.000,1773.000,1750.000,1950.000,1900.000,,,,,,,,,,1850.000,,,,,,,,1963.000,1975.000,1963.000,2000.000,2050.000,2100.000,2000.000,2100.000,2100.000,2150.000,2075.000,2150.000,2150.000,2150.000,2300.000,2300.000,2350.000,2300.000,2225.000,2300.000,2300.000,2195.000,2173.000,2300.000,2350.000,2100.000,2250.000,2350.000,2250.000,2295.000,2400.000,2365.000,2400.000,2450.000,2400.000,2365.000,2450.000,2358.000,2300.000,2400.000,2400.000,2398.000,2400.000,2500.000,2383.000,2300.000,2298.000,2300.000,2350.000,2300.000,2300.000,2300.000,2395.000,2388.000,2300.000,2350.000,2300.000,2150.000,2225.000,2200.000,2195.000,2200.000,2200.000,2200.000,2200.000,2125.000,2200.000,2300.000,2319.000,2295.000,2200.000,2200.000,2299.000,2275.000,2400.000
Sunset Park,Brooklyn,neighborhood,1550.000,1550.000,1575.000,1500.000,1550.000,,,,,,,,,,1813.000,,,,,,,,,,,,,,,1650.000,,,,,1750.000,,,1700.000,1750.000,1900.000,1850.000,1900.000,1900.000,1900.000,1900.000,1863.000,1795.000,1795.000,1750.000,1750.000,1850.000,1850.000,1900.000,2013.000,1950.000,1875.000,1900.000,1950.000,1995.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,1900.000,1850.000,1900.000,1998.000,2000.000,1995.000,1900.000,1950.000,2000.000,2000.000,2000.000,1985.000,2000.000,2000.000,2000.000,2000.000,1960.000,1960.000,1960.000,1960.000,1992.000,2013.000,2100.000,2150.000,2013.000,2000.000,1950.000,1950.000,1995.000,1999.000,1999.000,2000.000,2000.000,2154.000,2200.000,2200.000,2000.000,1985.000,1997.000,2000.000,2000.000,2100.000,2000.000,2000.000,2000.000
The Rockaways,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.000,1282.000,1282.000,1282.000,1282.000,1282.000,1282.000,,1341.000,1400.000,1465.000,,,,,,,,,,,1733.000,1708.000,1670.000,1700.000,1708.000,,,,,,,,,2075.000,2000.000,2000.000,2050.000,2025.000,2025.000,1963.000,1850.000,1850.000,1800.000,,,1897.000,1850.000,1749.000,1850.000,1775.000,,,,2200.000,2446.000,2305.000,2325.000,2245.000,2038.000,1950.000,2020.000,2100.000,2200.000,2020.000,2113.000,1995.000,1960.000,1995.000
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.000,,,1762.000,1762.000,,,,,1725.000,1700.000,,,,,,1650.000,,,,,,,,,,,1800.000,,1775.000,1775.000,1700.000,,1700.000,1825.000,1850.000,,,,,,,1800.000,1750.000,,,1825.000,,
Tribeca,Manhattan,neighborhood,8000.000,7850.000,7500.000,8125.000,8000.000,8500.000,8000.000,7950.000,7750.000,7750.000,7825.000,7000.000,8495.000,8200.000,7548.000,7195.000,6995.000,6673.000,6595.000,6500.000,7848.000,7000.000,7798.000,7650.000,8325.000,8748.000,7498.000,8300.000,9375.000,9000.000,9000.000,8000.000,7950.000,8000.000,8500.000,8500.000,8000.000,7448.000,7295.000,7500.000,8000.000,8500.000,8225.000,7950.000,7000.000,6995.000,7000.000,7425.000,7500.000,7395.000,7350.000,7000.000,7300.000,7275.000,7800.000,7595.000,7765.000,8500.000,8598.000,8195.000,7500.000,8500.000,8500.000,7800.000,8145.000,7800.000,7695.000,8225.000,8200.000,7573.000,7565.000,7500.000,7830.000,7995.000,7600.000,8600.000,9000.000,9000.000,8750.000,8500.000,8000.000,8556.000,8000.000,8200.000,8800.000,9000.000,8800.000,8550.000,7948.000,7775.000,8400.000,6500.000,6300.000,6135.000,6100.000,6900.000,7000.000,7583.000,7900.000,8290.000,7850.000,7598.000,7800.000,7998.000,7850.000,8075.000,8725.000,8613.000,8150.000,8000.000,7740.000,7700.000
University Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.000,1550.000,,,,,1550.000,1599.000,1595.000,1550.000,1595.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.000,,,,1813.000,1825.000,1800.000
Upper East Side,Manhattan,neighborhood,3500.000,3650.000,3800.000,3950.000,3965.000,3900.000,3800.000,3700.000,3795.000,3795.000,3950.000,3950.000,3900.000,3888.000,3798.000,3987.000,3895.000,3983.000,3900.000,3850.000,4000.000,3995.000,3990.000,4000.000,4000.000,3995.000,3900.000,3858.000,3750.000,3775.000,3850.000,3695.000,3950.000,3950.000,4095.000,3925.000,4100.000,4050.000,3785.000,3725.000,3600.000,3500.000,3350.000,3500.000,3695.000,3550.000,3850.000,3695.000,3600.000,3895.000,3600.000,3600.000,3500.000,3550.000,3498.000,3295.000,3250.000,3495.000,3700.000,3950.000,4100.000,4000.000,4000.000,3825.000,3695.000,3600.000,3595.000,3650.000,3893.000,3795.000,3550.000,3800.000,3900.000,4175.000,4108.000,3980.000,3750.000,3650.000,3695.000,3500.000,3695.000,3600.000,3695.000,3800.000,3850.000,3995.000,3685.000,3500.000,3595.000,3595.000,3595.000,3700.000,4125.000,3850.000,4145.000,4375.000,4132.000,4114.000,3875.000,3495.000,3450.000,3395.000,3495.000,3495.000,3600.000,3500.000,3650.000,3870.000,3950.000,3950.000,3800.000,3685.000
Upper West Side,Manhattan,neighborhood,4200.000,4100.000,4100.000,4498.000,4500.000,4500.000,3995.000,4000.000,4250.000,4300.000,4250.000,4400.000,4300.000,4500.000,4500.000,4500.000,4750.000,4650.000,4500.000,4600.000,4798.000,4750.000,4950.000,4950.000,4875.000,4750.000,4570.000,4800.000,4800.000,4595.000,4600.000,4750.000,4900.000,4900.000,4925.000,4950.000,4950.000,5000.000,4950.000,4695.000,4695.000,4500.000,4495.000,4438.000,4650.000,4805.000,4700.000,4715.000,4608.000,4600.000,4500.000,4800.000,4995.000,4700.000,4295.000,4350.000,4500.000,4450.000,4450.000,4350.000,4590.000,4575.000,4525.000,4523.000,4500.000,4375.000,4300.000,4463.000,4785.000,4892.000,4998.000,5000.000,4995.000,4995.000,4800.000,4950.000,4878.000,4500.000,4503.000,4552.000,4528.000,4500.000,4615.000,4650.000,4625.000,4700.000,4500.000,4500.000,4500.000,4495.000,4250.000,4217.000,4450.000,4497.000,4500.000,4650.000,4781.000,4891.000,4500.000,4500.000,4500.000,4500.000,4400.000,4500.000,4577.000,4725.000,4579.000,4500.000,4656.000,4600.000,4336.000,4250.000
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Heights,Manhattan,neighborhood,1585.000,1597.000,1675.000,1700.000,1798.000,1750.000,1858.000,1869.000,1858.000,1847.000,1850.000,1847.000,1819.000,1790.000,1700.000,1750.000,1795.000,1847.000,1850.000,1850.000,1798.000,1824.000,1850.000,2000.000,2000.000,1850.000,1900.000,1850.000,1900.000,1850.000,1850.000,1850.000,1900.000,1950.000,1925.000,1990.000,1895.000,1900.000,1850.000,1850.000,1847.000,1850.000,1800.000,1850.000,1990.000,1850.000,1850.000,1900.000,1895.000,1859.000,1875.000,1850.000,1850.000,1900.000,1950.000,2100.000,2100.000,2000.000,2000.000,2000.000,2000.000,1995.000,2000.000,2008.000,2095.000,2100.000,2250.000,2250.000,2200.000,2197.000,2100.000,2150.000,2195.000,2200.000,2200.000,2250.000,2195.000,2195.000,2197.000,2200.000,2200.000,2300.000,2200.000,2200.000,2200.000,2200.000,2200.000,2250.000,2263.000,2300.000,2300.000,2295.000,2291.000,2292.000,2291.000,2225.000,2200.000,2200.000,2250.000,2275.000,2295.000,2295.000,2295.000,2300.000,2300.000,2295.000,2250.000,2200.000,2200.000,2250.000,2291.000,2250.000
West Harlem,Manhattan,neighborhood,,,,,,,,,,,,,,,2600.000,2550.000,2550.000,2575.000,2600.000,2600.000,,,,,1750.000,,,,,1900.000,1900.000,,,,1900.000,1900.000,1900.000,1948.000,2048.000,1950.000,1998.000,1950.000,1950.000,1950.000,2048.000,2098.000,2000.000,2000.000,2100.000,2000.000,2100.000,2000.000,1863.000,2095.000,2100.000,2100.000,2350.000,2250.000,2108.000,2200.000,2150.000,2100.000,2098.000,2100.000,2195.000,2100.000,2200.000,2300.000,2300.000,2475.000,2350.000,2300.000,2300.000,2300.000,2300.000,2275.000,2300.000,2275.000,2400.000,2400.000,2350.000,2873.000,2291.000,2291.000,2200.000,2413.000,2488.000,2388.000,2450.000,2450.000,2425.000,2175.000,2250.000,2256.000,2256.000,2442.000,2500.000,2600.000,2400.000,2550.000,2500.000,2550.000,2500.000,2500.000,2383.000,2300.000,2250.000,2250.000,2400.000,2381.000,2362.000,2362.000
West Village,Manhattan,neighborhood,4500.000,4850.000,4800.000,4900.000,4500.000,4295.000,4250.000,4098.000,4000.000,4298.000,4500.000,4398.000,4500.000,5350.000,4273.000,4100.000,4175.000,4273.000,3825.000,3850.000,4250.000,4250.000,4195.000,4295.000,4250.000,3973.000,4225.000,4295.000,4195.000,4450.000,4525.000,4350.000,4000.000,4000.000,4000.000,4075.000,4200.000,4250.000,4100.000,4498.000,4495.000,4795.000,4500.000,4595.000,4495.000,4498.000,4325.000,4400.000,4500.000,4598.000,4500.000,4600.000,4498.000,4350.000,4250.000,4200.000,4295.000,4300.000,4250.000,4100.000,4200.000,4400.000,4500.000,4500.000,4875.000,4900.000,4500.000,4350.000,4600.000,4748.000,5475.000,4900.000,4950.000,4800.000,4595.000,4650.000,4500.000,4550.000,4798.000,4500.000,4700.000,4500.000,4395.000,4775.000,5200.000,5100.000,4900.000,4699.000,4525.000,4395.000,4350.000,4350.000,4500.000,4498.000,4300.000,4500.000,4450.000,4556.000,4528.000,4600.000,4525.000,4595.000,4375.000,4495.000,4600.000,4600.000,4745.000,5300.000,5145.000,4650.000,4623.000,4500.000
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.000,,,,,,,,,
Williamsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Brooklyn,neighborhood,2725.000,2775.000,2800.000,3000.000,3000.000,3214.000,3100.000,3275.000,3300.000,3412.000,3300.000,2700.000,2954.000,3392.000,3000.000,3400.000,3400.000,3400.000,3050.000,3470.000,3450.000,3500.000,3587.000,3750.000,3586.000,3462.000,3600.000,3700.000,3600.000,3550.000,3300.000,3500.000,3950.000,3900.000,3900.000,3900.000,3750.000,3897.000,3481.000,3100.000,3400.000,3400.000,3400.000,3400.000,3500.000,3400.000,3500.000,3845.000,3850.000,3740.000,3445.000,3400.000,3399.000,3500.000,3300.000,3230.000,3200.000,3200.000,3200.000,3300.000,3495.000,3500.000,3400.000,3395.000,3200.000,3300.000,3395.000,3250.000,3300.000,3400.000,3400.000,3500.000,3509.000,3300.000,3250.000,3200.000,3200.000,3195.000,3100.000,3192.000,3200.000,3250.000,3295.000,3230.000,3200.000,3100.000,3200.000,3200.000,3195.000,3163.000,3100.000,3095.000,3067.000,3000.000,2915.000,2895.000,2963.000,2922.000,2995.000,3000.000,3000.000,3000.000,2995.000,3000.000,3000.000,3000.000,2900.000,2950.000,3116.000,3000.000,2898.000,3000.000
Windsor Terrace,Brooklyn,neighborhood,,,,,,,,,,2400.000,2400.000,,2300.000,2400.000,2425.000,2425.000,2250.000,,,,,,,2488.000,2488.000,2400.000,2500.000,2600.000,,,2550.000,2850.000,,2350.000,2350.000,2400.000,2575.000,2600.000,,,,2675.000,2300.000,2500.000,2700.000,2500.000,2500.000,2500.000,2550.000,2600.000,2600.000,2600.000,2700.000,2700.000,2540.000,2578.000,2675.000,2500.000,2590.000,2900.000,2900.000,2748.000,2723.000,2863.000,2875.000,3000.000,3131.000,2800.000,2800.000,2800.000,2850.000,2700.000,2700.000,2695.000,2673.000,2650.000,2800.000,2800.000,2750.000,2750.000,2800.000,2800.000,2800.000,2900.000,2800.000,2850.000,2650.000,2800.000,2875.000,2800.000,2750.000,2599.000,2599.000,2663.000,2600.000,2695.000,2700.000,2600.000,2650.000,2700.000,2800.000,2695.000,2800.000,2800.000,2899.000,2775.000,2900.000,2700.000,2900.000,2875.000,3100.000,3100.000
Woodhaven,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.000,1975.000,,,,,,,,,,,,,,,,,,,,,,1960.000,2000.000,,,,,,,,,,,,,,,,,,,,,,,,
Woodlawn,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,Queens,neighborhood,,,,2100.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.000,1750.000,,1948.000,2000.000,,1950.000,,,,2100.000,2050.000,2100.000,2100.000,2356.000,2200.000,1950.000,2200.000,2150.000,2100.000,2100.000,2000.000,2000.000,2000.000,1995.000,2123.000,2150.000,2100.000,,,2425.000,2350.000,2175.000,2000.000,2050.000,2195.000,2200.000,2200.000,2075.000,2100.000,2150.000,2200.000,2200.000,2200.000,2250.000,2200.000,2100.000,2050.000,2100.000,2100.000,2090.000,2100.000,2050.000,2100.000,2150.000,2300.000,2250.000,2200.000,2100.000,2090.000,2050.000,2100.000,2075.000,2200.000,2225.000
Woodstock,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.000,,,,1700.000,,,,1950.000
